username,date,tweet
@hcneyskyy,2024-08-10 06:23,gua pasti sedih sih kalo mpkmb udah selesai 😭😭
@saturwnusz,2024-08-10 06:22,Pengen ikut closingan mpkmb dahh
@jijellipebe,2024-08-10 06:04,"gua boleh dateng ke closingan mpkmb dramaga ga sih, penasaran guest starnya"
@ipb_menfess,2024-08-10 06:00,"punten gs closingan mpkmb beneran tulus? PLIS GUE MAU NONTON, TERBUKA BUAT ANGKATAM 60 GA YA? PLIS BOLEH"
@Asksjshhsgs,2024-08-10 05:58,jir klo bnr mpkmb skrg ngundang tulus ak iri si
@ipb_menfess,2024-08-10 05:57,Punten katanya closing MPKMB ada dua gs?!!
@MungkinJordan,2024-08-10 05:55,"MPKMB ndarr, latihan closing malem"" anjer"
@ipb_menfess,2024-08-10 05:53,Punten siapa ni jadinya gs mpkmb Tulus? Hivi? Hindia? Yura Yunita?
@tasmoniaa,2024-08-10 05:41,knp ya dari semua penyanyi yg ada dari jaman mpkmb 59 tuh rumornya ngundang tulus trs😅😅😅
@lalalalalosey,2024-08-10 05:22,demi apa mpkmb 61 gs nya tulus?!!!
@FankaSalim,2024-08-10 05:06,nanti malem tulus ada acara ga sih? tapi bukan mpkmb
@j4sminesites,2024-08-10 04:46,udh tenang hari ini udh nyuci jd gapunya utang cucian (cucian gw numpuk sejak mpkmb)
@16frootloops,2024-08-10 04:10,mpkmb 61 gong sekaleeee
@ngopiduluwak,2024-08-10 03:58,Panit mpkmb gladi kedengaran sampe asrama alias KALO GUEST STAR NYA BENERAN TULUS NANGIS 7 HARI 7 MALAM 😭😭😭😭
@ipb_menfess,2024-08-10 03:57,punten heehhhh ini mpkmb ngundang tulus? kapan acaranya??
@grscpk,2024-08-10 03:50,mpkmb di ui?!?!?!
@boojaymey,2024-08-10 03:41,bakal kangen banget sama Agniarsa Danadipta...apalagi sama kak mentari yg udah jadi pjk yg best bgt 🥲 tbh ngetik twt ini berkaca² bgt..bakal kangen sama mpkmb sv ipb...makasih ya kak mentari dan temen² danadipta yg udh percayain aku sebagai rama kalian...🥹🙌 #IPBinDiversity
@apipuyskabbogor,2024-08-10 03:36,"enjoy last mpkmb nya ya, konser🤩🤩"
@yunhziu,2024-08-10 03:32,sedih lastday mpkmb
@foldernyadea,2024-08-10 03:26,"siapa yg nggak sabar mpkmb day 5 ??!! 💥💥💥💥

(view dari asrama ku)"
@amoremiamora,2024-08-10 03:07,jaga wudhu dari dzuhur sampe isya #mpkmb #lastday #wish #us #luck
@faisalmzhdtt,2024-08-10 02:43,ini beneran terakhir bgt nih mpkmb😢
@fairyfountaain,2024-08-10 02:40,last dayy mpkmb yeahh..ko agak sedihh…😥😥
@lankptra,2024-08-10 02:34,kok feel nya sedih sih last day mpkmb
@muztardketchup,2024-08-10 02:29,pengen mpkmb lagi minus berangkat subuh dan tugas-tugasnya 🫰
@naruhiiko,2024-08-10 02:29,Menurut gw alesan kenapa gw suka bgt mpkmb karena pas sma ospek nya online bjir
@coupernicium,2024-08-10 02:16,"udah terbiasa bangun jam 3 pagi buat mpkmb, jadi tadi tetep bangun jam segitu meski masih ngantuk dan capek"
@mnyhyst,2024-08-10 02:16,"Hari ini aku merasa produktif bgd wkwk
Padahal cuma beres² kosan setelah sekian lama g ke urus karena hrus buru² ke IPB mulu buat mpkmb"
@peonysz,2024-08-10 02:02,"HAHAHHAHQHA baru kemaren pagi diomelin karena main hp, surely gonna miss mpkmb era 😪"
@napatishappy,2024-08-10 02:01,"rasanya baru kemaren beli barang"" mpkmb dah mau selesai aja"
@maunan14,2024-08-10 01:53,"Hari terakhir untuk MPKMB IPB 61, jaga semangat kalian dan buakarrrr semangat ituu🔥. Tegakkan badan, lantangkan suara, dan selalu bersama sama. Mari kita guncangkan IPB dengan yel yel!"
@NubPepengsut,2024-08-10 01:52,Tantangan juga nih buat panitia @MPKMB_IPB tahun depan
@asloveseems,2024-08-10 01:49,kangen mpkmb 😭😭😭😭😭😭
@OSCOCLIFFO,2024-08-10 01:41,"siap menghabiskan suara di hari terakhir mpkmb ini untuk perang yel"""
@OSCOCLIFFO,2024-08-10 01:40,GUE LAGI MPKMB KOCAK
@grapestra,2024-08-10 01:38,MAAF KLO NGELUNJAK PLS MAU NYA MPKMB TIAP HARI
@yujimib,2024-08-10 01:37,Kami ini maba maba IPB Dramaga 🤟🏻😎
@get2know_wawa,2024-08-10 01:35,"Last day semoga dapet kesempatan fotbar sama komdis, medis, pjk, panglima dan panit mpkmb lainnya"
@macamtuulah,2024-08-10 01:33,kak aku mau mpkmb aja😭😭😭😔
@denaaskh,2024-08-10 01:20,"Buset, org org mpkmb nya dpt hal hal romantis. Jaman w komdisnya ga ada yg lucu lucu begini 😂"
@zwvorz,2024-08-10 01:17,mau nangis kalo keinget hari ini hari terakhir mpkmb 😔😔😔😔
@dishayangkamuu,2024-08-10 01:15,"guys jangan dulu share rekor ya, tunggu dri yt mpkmb dulu yang ada suaranya dan psti lebih baguss"
@pipiah_,2024-08-10 01:05,"guys mpkmb day 2 kuliah umumnya siapa aja yaa? pak rektor, mapres, siapa lgiii"
@daysuddenlyy,2024-08-10 01:04,mpkmb ipb seru bangettt 😩 mau ipb..
@llyyytn,2024-08-10 00:59,"mobilisasi day-4
dua peserta mpkmb unit lain di dket gua

“Ih gua pengen banget masuk gajen, yel yel nya asik bgt dah”

@inigajendraa angkut min"
@006chiev,2024-08-10 00:52,hari ini last day mpkmb jujur seneng sedihnya dapet bgttt
@nayalolosutbk25,2024-08-10 00:51,"SEDIH BGT WOIII, ternyata emg seseru itu gais mpkmb😞😞💔💔"
@nayalolosutbk25,2024-08-10 00:50,hah…mpkmb udh last day…
@glorievs,2024-08-10 00:50,katanya nanti di share di sg mpkmb lyneee
@Wilsyad1,2024-08-10 00:38,"mari kita dokumentasikan sebanyak-banyaknya, MPKMB yang seru ituu"
@apsiygkbwatkm,2024-08-10 00:33,FHKSFGWIWEFSAJFUGAF AK DEBUT DI VID MPKMB
@glorievs,2024-08-10 00:27,panit mpkmb kok ga pamerin hasil rekor sih plis ITU KEREN BGT ASLI formasi banyak varian warna bagus kalo ak jd panit aku pamerin ke seluruh dunia
@breezingbloom,2024-08-10 00:18,adek bobo dulu ya (mpkmb jam 1)
@get2know_wawa,2024-08-10 00:14,"3 sides of mpkmb, bakal kangen gasii 🥺"
@Wilsyad1,2024-08-10 00:09,mantap semangat yaa buat move on dari MPKMB (belom juga putus udah disuruh semangat moveon aja nih)
@apsiygkbwatkm,2024-08-10 00:06,PLS GMW HARI INI AYO MUNDUR HARI.. GK SIAP SLESAI MPKMB
@llyyytn,2024-08-10 00:02,"mana Senen jam pertama praktikum kimia☺️
makin gamau mpkmb ini kelar"
@stabiloveu,2024-08-09 23:48,ternyata udh semua deng😭😭 ku kira karena ga dri mpkmb ga semua😭😭
@n4zwayy,2024-08-09 23:46,"panitia mpkmb keren, pjk keren, medis keren, komdis keren, apalagi maba nya juga keren!! 🌟🥹🩷"
@stabiloveu,2024-08-09 23:41,"ini karena yang 20 mnit ga mungkin aku upload jadi aku mau upload keseruan setelah rekor tadi minn🤩🤩 cek ombak salah satu hal yg pling berkesan sih! anw terimakasih banyak kakak kakak panitia untuk kerja kerasnya, idenya, waktunya, dan semuanya! sehat sehat yaa🫶🫶"
@Wilsyad1,2024-08-09 23:39,"Institut Pagi Buta? 
No, hari ini berangkat jam 1 siang ya kawan kawan jadi gada pagi buta pagi buta lagi
seneng bisa berangkat jam 1 siang nggak harus mandi subuh subuh tapi, ini last day MPKMB sedih gasihhh"
@rutoipb,2024-08-09 23:12,"abhiseva, anak anakku yg deket nya cpettt bgt, yg ngga kayak baru kenal 2 minggu, yg selalu nyempetin ketemu setiap pulang MPKMB, jangan smpe asing ya 😠😠 msi banyak tempat nongkrong yg blm dijajah, sayaaanggg sekali sm abhiseva, terimakasihhh abhisevaaa 🌟🌟🌟💚💚💚"
@rutoipb,2024-08-09 23:04,sepagi ini tp udah mellow krn hari ini last day mpkmb 😣🥺😪☝🏻
@naostudys,2024-08-09 22:58,ini serius hari ini hari terakhir mpkmb? :<
@beausyfly,2024-08-09 22:49,ini pku bisa ganti sm mpkmb aja ga
@woofbblue,2024-08-09 22:44,"Liatt ges keren bngt kann!
Terima kasih kepada seluruh panitia yang udah berjuang mensukseskan acara mpkmb ini...
Buata temen² sobat nara juga, kalian semua keren
#RaihAsa 
#Mpkmb61"
@gleenchant,2024-08-09 22:28,gamon mpkmb? jangan ya dek ya...
@urshaning,2024-08-09 20:39,lagi rame anak mpkmb abis rekoran and realize seru bgt pd ada dokumentasi sendiri
@lattemerahdaun,2024-08-09 19:28,wow mpkmb itu udh 2 thn lalu ya ternyata
@grtppol,2024-08-09 18:32,Closing mpkmb di gelora hihiii
@stillleledk,2024-08-09 18:31,"Buset, ini kalian besok buat penutupan MPKMB 61, jam segini masih latihaaann, besoknya apa ga lemes😭"
@fleyura,2024-08-09 18:29,anjir ak radang dn amandel after triak” an pas mpkmb ….
@xyoaiz,2024-08-09 18:27,"bocah mpkmb lagi gladi closingan, berasa lagi konser di kamar gueee"
@xyoaiz,2024-08-09 18:27,"besok closingan mpkmb 61 yaa? kaya sedih gasie, ternyata udah 2 tahu lalu aku jadi maba nya ..."
@rajarakyatbiasa,2024-08-09 18:24,maksudnya closing mpkmb 61
@dimasdnv,2024-08-09 18:16,"Jaman gw masih belum musim bikin kayak ginian, tapi dulu rekor pas gw mpkmb aka ospek adalah seluruh mahasiswa baru makan beras analog barengan."
@fleyura,2024-08-09 17:06,saking riwehnya gue ngerjain resume mpkmb day 1 tapi judulnya abinaya benua.....
@xartemn,2024-08-09 17:06,"Mpkmb selesai perkuliahan pun akan dimulai....

I'm so excited untuk kuliah tapi aku ga mau ninggalin temen2 ospek ... rencanya h-3 kuliah aku mau nyicil baca2 materi... tapi kayaknya aku bakal fokus menikmati mpkmb yang indah ini. Makasih ipb, makasih kakak kakak panitia <3"
@llyyytn,2024-08-09 17:04,"ga sabar bsk, tapi gamau juga kelar mpkmb nya:(
duhh"
@asloveseems,2024-08-09 17:02,IYA PLIS dari awal mpkmb sampe selesai gaada kusam kusamnya
@bluesstudy,2024-08-09 17:02,mau mpkmb terus aja pls takut ppku 🥺
@bluesstudy,2024-08-09 16:59,bs gx mpkmb nya dilamain
@grapestra,2024-08-09 16:57,besok mpkmb selesai..... jujur ga rela bgttt plss... 🥹
@hyunjinskena,2024-08-09 16:56,Lu pada pasti ga percaya kan bocah se tantruman gue yang dikit dikit ngeluh pengen pulang pas MPKMB lebih banyak diem planga plongo ngeliatin orang pada akrab sama temen temen nya 😔😔😔😔😔😔😔😔
@jaeminasdfghjkl,2024-08-09 16:45,MPKMB tahun ini keren bgt... Papermob nya gacorrr
@gizzyyzy,2024-08-09 16:27,Ini panitia MPKMB gladi bersih tengah malem bangett???? WOWWW Smangatt panitiaaaa. Jgn capek2 pls. Btw suaranya kedengeran sampe balebak
@alexxalbon,2024-08-09 16:11,"Huhu mpkmb ini keren banget dah, mau memgucapkan trimakasih sebesar besarny sama kakak panitia yg udah kerja di depan or dibalik layar mpkmb ini, super duper keren dan asyik dan ga berasa banget. Jgan lupa istirahat dan smgat ia osfak dan osjurnya kk kk pjk, komdis, medis dkk 😔"
@jakegizi,2024-08-09 16:07,gamau udahan mpkmb nya pls😭😭
@j4sminesites,2024-08-09 16:05,demi apapun mau peluk kakak kakak panitia mpkmb bgt 🥹🥹🥹
@urstarlaitt,2024-08-09 16:04,jadi panit mpkmb tahun depan yay or nay?
@jenoskhb,2024-08-09 15:48,mpkmb sampe selesai ppku mau ga kak biar aku gausah praktikum
@hourlyhili,2024-08-09 15:42,bleh ga abis mpkmb langsung daftar wisuda
@urstarlaitt,2024-08-09 15:38,MPKMB nya sebulan aja bisa ga sih ? :(
@kyouriest,2024-08-09 15:36,telat bgt post nya sibuk mpkmb
@j4sminesites,2024-08-09 15:30,AAAA MERINDING REKOR GOKIL BGTTTT YAALLAH APRESIASI SEBESAR BESARNYAAA UNTUK SEMUA KAKAK KAKAK PANITIA MPKMB 61 OMG KERENN BGTT
@jenoskhb,2024-08-09 15:29,"formasi favoriteku,,, makasih semua kakak panitia dan semua pihak yg terlibat dlm proses mpkmb 61 iniii huhuhu so grateful being part of ipb university 🥺🥺🫶🏻"
@cherrywaffle__,2024-08-09 15:26,gmn caranya mau move on dari mpkmb kalo begini😔😔😔
@yuwrirawr,2024-08-09 15:21,mpkmb serius mau udahan nih?!
@ratuestteao,2024-08-09 15:19,"mpkmb kelar, langsung wisuda 👍"
@llyyytn,2024-08-09 15:18,"kalian yang rekor keren banget
kakak panit tahun ini juga hebat hebat banget

makasih banyak ya semua yang terlibat di mpkmb 61 ini, kalian hebat banget, semangat terus kedepannya buat kakak kakak dan temen temen narapati bimantara semuanya, bangga banget"
@akuraditt,2024-08-09 15:18,"Kapan lagi ya kan, abis mpkmb langsung wisuda"
@jenoskhb,2024-08-09 15:16,SUMPAH AKU NANGIS LIAT PAPERMOB MPKMB IPB 61 KEREN BGT
@hiatgss,2024-08-09 15:14,"terima kasih MPKMB 61, gak kerasa besok hari terakhir aja, terima kasih juga kakak-kakak panitia semua yang sangat-sangat keren dan membimbing kami Narapati Bimantara inihh 😻😻😻"
@zayyyiid,2024-08-09 15:12,besok terakhir mpkmb :(
@tasmoniaa,2024-08-09 15:05,eh btw kemaren pas faculty day gw terharu kicil ngeliat pjk gw pas faculty day mpkmb ((ikk 57)) lg di depan taman trs mau foto² habis sidang gt sm tmn²nya trs gue nya lg jadi pjk faculty day mpkmb🥺🥺🥺
@rektoripb,2024-08-09 15:01,"temen-temen, rekor mpkmb 61 udah keluar lhoo bisa cek disini yaaaa! selamat berbangga🫂"
@fioressta,2024-08-09 15:00,"Seru bangettt, mana abis rekor bisa liat kaka komdis senyum lagii wkwk"
@saysikenow05,2024-08-09 14:56,Ada yg merasa g menjalani MPKMB 100%? Merasa FOMO? Merasa capek padahal g aktif aktif bgt? G papa ges sama kok😚
@limitfungsii,2024-08-09 14:52,panitia mpkmb nih gak bobo ya.... pls jaga kesehatan kaka kaka smw🫰🏻🫶🏻
@juicetomt,2024-08-09 14:50,kok sedih ya besok mpkmb terakhir 🙁
@maugnraf,2024-08-09 14:50,panik dikit karena jari gue belibet😁😁
@nedisheepa,2024-08-09 14:47,gladi bersih buat besok mpkmb
@sugaipb,2024-08-09 14:44,"Duh, mpkmb aja belon beres udh dapet ini hehe"
@coupernicium,2024-08-09 14:42,KAN JD GAMON MPKMB
@goomaaddict,2024-08-09 14:41,"engga.. ga ketemu, baru liat pas hari h mpkmb dan itu udah ga boleh mata staff medisnya"
@zwvorz,2024-08-09 14:40,"undur lg dong, besok hari terakhir mpkmb soalnya"
@bucinnyatuku,2024-08-09 14:36,"ngeliat foto2 pas mpkmb sama orex kemaren bener2 langsung nyengar nyengir sendiri🥹mulai dari pertama kalinya tampil di mpkmb setelah tahun lalu jadi maba terus gajadi ikut orex, eh sekarang aku jadi yang jaga boothnya. terus nemenin anak2-"
@nadoraraa,2024-08-09 14:33,"H-1 CLOSING MPKMB SEDIH, AK SAYANG BANGET SAMA NIRMALA THANKYOU GUYSS🫶🏻🫶🏻🫶🏻✨"
@nayleyeah,2024-08-09 14:24,BISA2NYA KELAR MPKMB GUE TURUN 2 KG ???? DUIWJDJAJJDJAJA KEKURANGAN GIZI KAH
@cipOlsit3,2024-08-09 14:23,duh kalo free begini enaknya jalan jalan ga si
@cipOlsit3,2024-08-09 14:22,ni tugas tinggal idp sm per challenge kan yh
@dipzidisini,2024-08-09 14:19,bsk terakhir mpkmb gd yg mw fotbar dgn ku kh🥹🥹
@jakegizi,2024-08-09 14:18,ya allah abis mpkmb mau perawatan banget
@jenoskhb,2024-08-09 14:15,INI MPKMB NYA IPB KAK JAY 😭😭😭
@qibiillll,2024-08-09 14:14,gadlu deh klo mpkmb lg😔🙏
@heyychannnie,2024-08-09 14:14,eh sabar dulu dong baru selesai mpkmb...
@intakipb,2024-08-09 14:11,mpkmb ngundang clairo ya bsok
@cipOlsit3,2024-08-09 14:11,ALHAMDULILLAH GAJADI KE KAMPUS
@j4sminesites,2024-08-09 14:00,plis spill hasilnya min
@hazinkau,2024-08-09 13:56,Gwe cinta bgt sm mpkmb ipb 61 ini
@CestLaReves,2024-08-09 13:51,Besok hari terakhir MPKMB....
@Revaandaa,2024-08-09 13:40,"Ini ga si gongnya, tuing tuing mpkmb, 61?"
@goomaaddict,2024-08-09 13:39,gokil panit kreatif mpkmb
@haechanvokasi,2024-08-09 13:39,"jadi gini rasanya udahan baik2 🙂😔

(udahan MPKMB)"
@cipOlsit3,2024-08-09 13:32,MAU ANJIR OTW
@tehqotaq,2024-08-09 13:32,SERU BANGET KAAAKKKK... APALAGI PAS LIHAT PANITIA PADA BANGGA GITU SAMA NARAPATI BIMANTARA 😭😭😭😭😭😭😭😭😭
@cipOlsit3,2024-08-09 13:31,SALTING DI LIKE KAK MENTARI
@coupernicium,2024-08-09 13:31,narapita bs nangis aj
@sulitrolldepan,2024-08-09 13:29,"Gw abis dengerin lagu MPKMB IPB dari tahun ke tahun, yang paling enak MPKMB 61 cuyy, bener bener memorable"
@Noved23_,2024-08-09 13:28,Minnnnnn spill hasillll pelissss😭
@yeellowpretzel,2024-08-09 13:27,"Buku rekor gw ilang min, cariin plsss"
@youandiwecanfl9,2024-08-09 13:27,SERUUU BGT BGTTT MINNNNNN😭😭😭😭😭💖
@niseyniss,2024-08-09 13:23,mpkmb selesai tapi deadline tugas di depan mata
@g0dzSake,2024-08-09 13:23,"sukak soalnya kk komdis akhirnya melepas topeng judesnya wkwkwk, trs seru walaupun pegel tapi HARUS SEKALI SEUMUR IDUP SIHH IKUT REKOR🤭"
@meluncur2345,2024-08-09 13:17,SERUUUU bangeet sampai ga bisa berkata kata 🫵🏿👍🏿🫶🏿
@cherrywaffle__,2024-08-09 13:08,GAMAU SELESAI MPKMB PLISSSS
@Imiijinno,2024-08-09 13:07,"Ditungguuu hasilnyaaa miminnnn, kira kira kapan deh min? Soalnya seingetku formasi rekor yang favorit nya dimasukin buat tugas insta story juga🤔"
@scaredacted,2024-08-09 13:05,DITUNGGU HASILNYA MINNN 🔥
@Johns9579559272,2024-08-09 12:59,"Gk kerasa mau last day mpkmb, tunggu kejutan buat besok ya sobat nara🙀🤩"
@togamejuo,2024-08-09 12:57,"spoiler last day mpkmb 61, pov eksklusif asrama 😎😎😎"
@coupernicium,2024-08-09 12:57,"meskipun jadi sobat narapita, tapi aku gamau cepet cepet udahan mpkmb:( BAKAL KANGEN BGT SAMA MPKMB 61 YANG PECAH ABISSSS"
@1020gongfourz,2024-08-09 12:55,sedih aku mapit ga ikut rekor jd ga punya keseruan
@ndreyyaea,2024-08-09 12:52,"SERU BANGETT, ga kerasa dah mau beres ajaa🤧 btw seru liat komdis nya happy kiyowo gini AHAHAHA"
@rcathelsa,2024-08-09 12:45,EH AKU SEDIH BESOK TERAKHIR MPKMB HUAAAA MASIH MAU MAIN SAMA RELASIONERS AND OTHER PANIT HUAAA
@l0velyroese,2024-08-09 12:37,MINN MPKMB NYA CEPET BGT!? besok udh closing aja…
@MPKMB_IPB,2024-08-09 12:34,"HAI HAI SOBAT NARAAA, gimana nihh after capek” ngerjain rekor tadii, pasti penasaran banget gaksii sama hasilnyaa??!🙀🫨⁉️ 
btw drop keseruan hari rekor versi kalian dongg sobat nara! 😋🙌🏻 

#miminsyngnarapatibimantara"
@haoipebe,2024-08-09 12:28,huhuhu besok last day mpkmb... ak syang bgt sm sahaja.... huhuhu gmau pisah.... smoga bsok kita msih bisa kumpul n main bareng yh mandhalaku...klen seru bgt 😨😨😨😨💞💞💞💞
@kunyukrupawan,2024-08-09 12:19,sumpah gue mau bgt ngulang MPKMB IPB dr awal OAJDKAKSKA SERU POLLLL🥹🥹🫶
@minhalide,2024-08-09 12:11,haaa sedih bgt bsk udah last day mpkmb 😿
@katshyck,2024-08-09 12:08,"APA-APAAN ANJIR MASA AYAH GW NYAMAIN MPKMB SAMA OSPEK MILITER, YA KAGAK NYAMBUNG LAH BJIR."
@j4sminesites,2024-08-09 11:49,blm siap mulai kuliah beneran.. mau mpkmb terus blh gak tp gausah ada penugasan blh gak plis maaf kl ngelunjak
@lynestudy,2024-08-09 11:49,PLSSS JNGANN DLUU PLSS AKU MAU KONSER PENUTUPAN MPKMB DLUU PLASSS
@keliskae,2024-08-09 11:49,mpkmb masuk 120sks kah
@mnyhyst,2024-08-09 11:38,"duh abis mpkmb harus kenalan lg yh
😭😭😭😭, jujur fase paling capek adalah harus kenalan lagii tp aku juga maw punya temennn"
@callmelilyea,2024-08-09 11:31,"mw ikut fallinlove sama kating pas mpkmb tpi dlu kating yg ak kenal cmn pjk doang njir 😭 ignorant bet anaknya dlu soalnya, malah melihat tmanku yg having crush sama pjk kel lain kdgwkdhje"
@llyyytn,2024-08-09 11:30,"sedih mpkmb udh mau selesai😔
gabisa ngakak ampe ngik ngik lagi sama racil"
@artemwxng,2024-08-09 11:23,"woi temen gw bilang jingle mpkmb 61 kek lagu mr. diy, emang iya kah😭"
@aissyyyaipibi,2024-08-09 11:21,"kok aku selama mpkmb ga nemu banyak panitia ya, soalnya ketemunya tuh kalo ga komdis, ya pjk, atau ga ya medis ajah itupun ga semuanya😭😭😭

padahal pengen cari info kating jomblo"
@hyunjinskena,2024-08-09 11:17,Gpp gue juga after mpkmb tidur jam set 10 malem baru bangun jam 11 siang
@korpusIPB,2024-08-09 11:16,"Menyongsong Era Pertanian Modern: Strategi TNI dalam Talkshow MPKMB IPB 61
korpusipb.com/mpkmb/menyongs…"
@korpusIPB,2024-08-09 11:15,"Semarak Hari Kedua MPKMB IPB 61, Membangun Sinergi Melalui Komunikasi

korpusipb.com/mpkmb/semarak-…"
@dishayangkamuu,2024-08-09 11:12,that's why pas h-1 mpkmb gue ga siap mpkmb karna PASTI KERASA CEPET NYA DAN SKRNG H-1 LAST DAY?!!!
@cipOlsit3,2024-08-09 11:03,PANCABAYA DONEEEEEE
@Johns9579559272,2024-08-09 10:57,Keknya selesai mpkmb hidup w bkl hampa (njz lebay bgt)
@dipzidisini,2024-08-09 10:53,anjir tragedi h-1 penutupan mpkmb😭
@wirangga22,2024-08-09 10:50,SUPER TEAM. Semoga tetep waras sampe MPKMB dan OMB ini kelar🙏
@xartemn,2024-08-09 10:46,Mpkmb jangan selesai:(
@kacangmeteor,2024-08-09 10:44,Baru juga kelar mpkmb😭
@wirangga22,2024-08-09 10:34,Hari 4: Pemecahan Rekor Formasi MPKMB 61. Hats off Panitia @MPKMB_IPB dan Narapati Bimantara ❤️🇮🇩
@hwisun,2024-08-09 10:31,ini kelar mpkmb dah boleh wisuda kah?
@hnbecool,2024-08-09 10:18,S.MPKMB ya dev?
@glorievs,2024-08-09 10:15,stop aneh aneh iyh w seminggu ini cmn makan konsum mpkmb doang😾😾😾😾😾😾 kecuali hari senin beli geprek tp ga ak abisin sih…..
@bckberner,2024-08-09 09:57,Jujur seseneng itu gw ketemu caraka.. gakuat banget beres mpkmb bakal misah ke kelasnya masing²:(
@tasmoniaa,2024-08-09 09:52,curiga tp sotau aja sih closing mpkmb apakah bakal di gelora????
@levanaon,2024-08-09 09:49,jujur msh kepikiran kerah kemeja aku ternyata ga rapih waktu maju nanya pas mpkmb 😫😫😫😫
@naviacchi,2024-08-09 09:45,currently nangis ga siap closingan mpkmb besok.. jujur capeeek banget ospek tp seneng bgt rasanya disayang bgt bgt bgt setiap hari sm kaka2nya HUHUU besok fix nangis kejer
@jjh4ze,2024-08-09 09:31,dari awal pra mpkmb malah ak suka liatnya gagah parah 😬😡😎
@fiifarfi,2024-08-09 09:28,takut sekali menjadi partner mc annisa rahma sang mc mpkmb inih😭✋🏻
@accounrendom,2024-08-09 09:28,Apa hukumnya cinlok pas mpkmb😔
@macamtuulah,2024-08-09 09:25,SUMPAH AKU BENERAN DIBUAT ENJOY DI MPKMB☹️🌟
@iilytintiihy,2024-08-09 09:17,"big thanks buat panitia MPKMB 61, pjk, komdis, medis yg udh jalanin tugasnya dgn top markotop lah pokonya!!!!💙💙💙 BAKAL KANGENNN BGTTTTT MASA2 OSPEK INI. bismillah taun depan jadi panitia MPKMB 62 HEHWHEHWHWHWHWHW😁😁😁😁"
@iilytintiihy,2024-08-09 09:13,"bangga bgtttt jadi bagian dari narapati bimantara😭😭😭. SENENGGG BGTTTTTT BISA NAMATIN MPKMB BARENG 61 YG SUPER DUPER MEGA BINTANG KERENNNN BGTTTTT. mulai dari panitianya, rangkaian acaranya, BENER2 SEMPURNA🤍🤍🤍🤍🤍🤍"
@stabiloveu,2024-08-09 09:12,abis mpkmb langsung wisuda enak bgt y😇😇 join dong
@hayanglibur_,2024-08-09 09:12,Kapan rekor mpkmb tayang di yt?
@youandiwecanfl9,2024-08-09 09:07,STUJU ANJIRR MPKMB IPB TERBAIK POKOKNYA MAH
@shalldobest_,2024-08-09 08:34,"Re watch mulu jadinyaa Wkwkwk
DAY-2 MPKMB IPB, akhirnya kedapetan maju juga buat nanya langsung ke narsum nya ehehe"
@pra_seeu,2024-08-09 08:32,iyaaa pliss itu bukan akuu dekil bngttt pas mpkmb 😭
@FlyingAngel05,2024-08-09 08:08,Isi tl gua hari ini full mpkmb sama gorengan wota akwkwk
@gleenchant,2024-08-09 07:59,eh jujurly gw sedih mpkmb udh mo selese
@cipOlsit3,2024-08-09 07:42,owwkeii
@erakinimedia,2024-08-09 07:34,"Najwa Shihab, Putri Tanjung, dan Cinta Laura membagikan pesan inspiratif kepada mahasiswa baru (maba) IPB University saat MPKMB. erakini.id/gaya-hidup/era-g5…"
@ktaerev,2024-08-09 07:29,Mpkmb hari ini 10/10!!!
@saturwnusz,2024-08-09 07:26,Kenapa mpkmb sv cuma 2 hari..
@saturwnusz,2024-08-09 07:26,Pengen mpkmb lagii 😭
@beelbyla,2024-08-09 07:18,kakak kakak panit mpkmb terimakasihhh keren sekalii mpkmb nyaaa
@cipOlsit3,2024-08-09 07:16,P INI KULIAH UMUM DAY 2 DARI BAGIAN PAK REKTOR YA??
@rutoipb,2024-08-09 07:02,gak ada yang kasitau aku tidur siang di kosan pulang MPKMB seenak itu 😭 biasa ak tidur tidur ayam doang
@bonfirekiss,2024-08-09 07:00,Shade aku beneran turun satu tingkat abis mpkmb.... makasih oleh olehnya ^_^
@lsfhtpgg,2024-08-09 06:58,lopyu anak produksi mpkmb
@inigajendraa,2024-08-09 06:56,"ga kerasa yaa hari demi hari berlalu 😿, soo how was ""The""Rekor Dunia Itu???

 jangan lupa bagikan keseruan, kesenangan, kesan pesan, cinta yang datang dadakan huishh apapun ituu dehhh 

padlet.com/bimantaragajendra…

see you in The Last Day MPKMB 61

#MPKMB"
@tehqotaq,2024-08-09 06:51,"HEWOOOO 🙌🙌🙌🙌
ALHAMDULILLAH LANCARR (meskipun pegel dikitt)... Btw kamu gimanaa? MPKMB nya udah selesai kaah?"
@stabiloveu,2024-08-09 06:47,"RATE MPKMB DAY 4 ADALAH 100/10 KENAPA? KARENA SERU BANGET?! pegel mah pasti, tp ilang krna seru! after rekor jg ngobrol sama kk komdis dan pjk itu seruu! foto"" juga, pulang pagi pulak🤗 yg bkn aku sedih aku dpt rekor rusak jadi td ada trouble, tkut bgt bkin jlk gara"" aku deh:("
@dumpiebuby,2024-08-09 06:37,"jadi PJK untuk anak-anak hebat itu bukan suatu hal yang mudah namun tidak sulit, aku seneng bgt bisa dampingin temen-temen maba disabilitas yang sangat spesial buat aku. mereka bener bener seneng buat ikutin rangkaian MPKMB IPB dengan sangat baik 🥺 🤍"
